Path,Category,Tier,Spell Name,Rank/Die,Rarity,Effects,Notes
All Paths,,,Dispel Effect,d4,Common,Activate,
All Paths,,,Eldritch Bolt,Auto (Variable),Common,Harm,
All Paths,,,Eldritch Defense,d4,Common,Protect,
All Paths,,,Identify Magic,d4,Common,Activate,
Divine Magic (Hieraticism),,Common,Aura of Restoration,d4,Common,Restore,
Divine Magic (Hieraticism),,Common,Blessing of Renewal,d4,Common,Restore,
Divine Magic (Hieraticism),,Common,Entreaty of Mercy,d4,Common,Restore,
Divine Magic (Hieraticism),,Common,Heal,d4,Common,Restore,
Divine Magic (Hieraticism),,Common,Repel Undead,d4,Common,Protect,
Divine Magic (Hieraticism),,Common,Soothe Ally,d6,Common,Restore,Listed under Uncommon header in source list
Divine Magic (Hieraticism),,Common,Soothe Self,d4,Common,Restore,
Divine Magic (Hieraticism),,Common,Word of Cleansing,d4,Common,Restore,
Divine Magic (Hieraticism),,Uncommon,Banish Undead,d6,Uncommon,Destroy,
Divine Magic (Hieraticism),,Uncommon,Blessing of Health,d6,Uncommon,Restore,
Divine Magic (Hieraticism),,Uncommon,Consecrate Ground,d6,Uncommon,Protect,
Divine Magic (Hieraticism),,Uncommon,Dispel Magic,d6 (Variable),Uncommon,Modify,
Divine Magic (Hieraticism),,Uncommon,Healing Aura,d6,Uncommon,Restore,
Divine Magic (Hieraticism),,Uncommon,Nullify Poison,d6 (Variable),Uncommon,Restore,
Divine Magic (Hieraticism),,Uncommon,Recovery of the Unready,d6,Uncommon,Restore,
Divine Magic (Hieraticism),,Uncommon,Soul Transfer,d6,Uncommon,Restore,2 SP
Divine Magic (Hieraticism),,Esoteric,Doomsday Premonition,d8,Esoteric,Activate,
Divine Magic (Hieraticism),,Esoteric,Mystical Regeneration,d8,Esoteric,Restore,
Divine Magic (Hieraticism),,Esoteric,Rejuvenate,d8,Esoteric,Restore,
Divine Magic (Hieraticism),,Esoteric,Remove Curse,d8,Esoteric,Restore,
Divine Magic (Hieraticism),,Esoteric,Unbind Spirit,d8,Esoteric,Activate,
Divine Magic (Hieraticism),,Occult,Desolate Curse,d10 (Ritual),Occult,Destroy,
Divine Magic (Hieraticism),,Occult,Entreat Entity,d10,Occult,Activate,
Divine Magic (Hieraticism),,Occult,Omniscient Eye,d10,Occult,Modify,
Divine Magic (Hieraticism),,Occult,Soul Transmutation,d10 (Ritual),Occult,Modify,
Divine Magic (Hieraticism),,Legendary,Commune with the Dead,d12,Legendary,Activate,
Divine Magic (Hieraticism),,Legendary,Create Undead,d12,Legendary,Activate,
Divine Magic (Hieraticism),,Legendary,Regeneration,d12,Legendary,Restore,
Divine Magic (Hieraticism),,Legendary,Summon Spirit,d12,Legendary,Activate,
Divine Magic (Hieraticism),Defense,,Divine Armor,d4–d12,Common,Protect,
Divine Magic (Hieraticism),Defense,,Divine Shield,d4–d12,Common,Protect,
Divine Magic (Hieraticism),Offense,,Divine Assault,d4–d12,Variable,Harm,
Druidry,,Common,Blossom/Wither Plants,d4,Common,Afflict,
Druidry,,Common,Branch to Staff,d4,Common,Modify,
Druidry,,Common,Commune with Plants,d4,Common,Activate,
Druidry,,Common,Ears of the Bat,d4 (Variable),Common,Modify,
Druidry,,Common,Entangling Roots,d4,Common,Afflict,
Druidry,,Common,Eyes of the Eagle,d4 (Variable),Common,Modify,
Druidry,,Common,Nose of the Wolf,d4 (Variable),Common,Modify,
Druidry,,Common,Plant Growth,d4,Common,Activate,
Druidry,,Common,Rose Whip,d4,Common,Modify,
Druidry,,Common,Summon Animal,d4 (Variable),Common,Activate,
Druidry,,Uncommon,Animate Flora,d6,Uncommon,Afflict,
Druidry,,Uncommon,Bramble Wall,d6,Uncommon,"Activate, Restore",1 SP
Druidry,,Uncommon,Control Animal,d6,Uncommon,Afflict,
Druidry,,Uncommon,Gust,d6,Uncommon,"Harm, Modify",1 SP
Druidry,,Uncommon,Healing Grove,d6,Uncommon,"Restore, Protect",1 SP
Druidry,,Uncommon,Seizing Plants,d6,Uncommon,Afflict,
Druidry,,Uncommon,Shape Wood,d6,Uncommon,Modify,
Druidry,,Uncommon,Shapeshift,d6,Uncommon,Modify,
Druidry,,Uncommon,Wild Growth,d6,Uncommon,"Modify, Afflict",2 SP
Druidry,,Esoteric,Plant Automaton,d8,Esoteric,Activate,
Druidry,,Esoteric,Plant Meld,d8,Esoteric,Modify,
Druidry,,Esoteric,Regrowth,d8,Esoteric,Restore,
Druidry,,Esoteric,Speak with Nature,d8,Esoteric,Activate,
Druidry,,Esoteric,Tangle Trap,d8,Esoteric,Afflict,
Druidry,,Esoteric,Thorny Shield,d8,Esoteric,Protect,
Druidry,,Occult,Animal Transformation,d10,Occult,Modify,
Druidry,,Occult,Might of the Oak,d10,Occult,Modify,
Druidry,,Occult,Nature's Blessing,d10,Occult,Restore,
Druidry,,Occult,Plant Armor,d10,Occult,Protect,
Druidry,,Occult,Plant Behemoth,d10,Occult,Activate,
Druidry,,Legendary,Magical Transformation,d12,Legendary,Modify,
Druidry,,Legendary,Plant Mastery,d12,Legendary,"Modify, Harm",
Druidry,Defense,,Nature Armor,d4–d12,Common,Protect,
Druidry,Defense,,Nature Shield,d4–d12,Common,Protect,
Druidry,Offense,,Nature Assault,d4–d12,Variable,Harm,
Elementalism,,Common,Ball of Light,d4,Common,Activate,
Elementalism,,Common,Boil Water,d4,Common,Activate,
Elementalism,,Common,Breeze,d4,Common,Activate,
Elementalism,,Common,Charge of the Elements,d4,Common,Modify,
Elementalism,,Common,Cleanse Air,d4,Common,Activate,
Elementalism,,Common,Crystal Vision,d4,Common,Activate,
Elementalism,,Common,Drown,Auto,Common,Harm,
Elementalism,,Common,Energy Jump,d4,Common,Activate,
Elementalism,,Common,Energy Pulse,d4,Common,Activate,
Elementalism,,Common,Extinguish Flames,d4,Common,Activate,
Elementalism,,Common,Fire Strike,d4,Common,Harm,
Elementalism,,Common,Fire Trail,d4,Common,Modify,
Elementalism,,Common,Flame Creature,d4,Common,Activate,
Elementalism,,Common,Flame Fists,d4,Common,Harm,
Elementalism,,Common,Flame Weapon,d4 (Variable),Common,Activate,
Elementalism,,Common,Forge From Stone,d4,Common,Activate,
Elementalism,,Common,Freeze,d4,Common,Activate,
Elementalism,,Common,Fresh Air,d4,Common,Activate,
Elementalism,,Common,Fuel Flames,d4 (Variable),Common,Harm,
Elementalism,,Common,Halo of Energy,d4,Common,Protect,
Elementalism,,Common,Heat,Auto,Common,Harm,
Elementalism,,Common,Illuminating Insight,d4,Common,Modify,
Elementalism,,Common,Kinetic Augmentation,d4 (Variable),Common,"Modify, Afflict",
Elementalism,,Common,Luminous Wave,d4,Common,Harm,
Elementalism,,Common,Mineral Analysis,d4,Common,Activate,
Elementalism,,Common,Rain,d4,Common,Activate,
Elementalism,,Common,Resist Elements,d4 (Variable),Common,Activate,
Elementalism,,Common,Rocky Terrain,d4,Common,Modify,
Elementalism,,Common,Safe Descent,Variable,Common,Protect,
Elementalism,,Common,Sense Air Currents,d4 (Variable),Common,Activate,
Elementalism,,Common,Steal Breath,Auto,Common,Harm,
Elementalism,,Common,Tremor Sense,d4,Common,Activate,
